fitness,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,fliplr,flipud,mosaic,mixup
0.16375,0.015,0.7,0.4,5.0,0.1,0.5,0.0,0.0,0.5,0.0,1.0,0.0
0.16848,0.015,0.7,0.4,5.0,0.10987,0.51299,0.0,0.0,0.5,0.0,0.96514,0.0
0.14315,0.01513,0.7,0.42777,5.03848,0.11024,0.54732,0.0,0.0,0.5,0.0,1.0,0.0
0.13455,0.01528,0.6506,0.38558,5.0,0.10711,0.4921,0.0,0.0,0.5,0.0,0.96514,0.0
0.10773,0.01527,0.7,0.42305,5.93173,0.1,0.52842,0.0,0.0,0.5,0.0,0.90833,0.0
0.12111,0.01612,0.7,0.38081,5.0,0.1,0.55683,0.0,0.0,0.5,0.0,0.82093,0.0
0.12759,0.015,0.7,0.40879,6.86146,0.1,0.46367,0.0,0.0,0.5,0.0,0.96514,0.0
0.14837,0.015,0.7,0.38624,5.01873,0.10987,0.49636,0.0,0.0,0.5,0.0,0.96473,0.0
0.17071,0.015,0.7,0.32462,5.0,0.1,0.53749,0.0,0.0,0.5,0.0,1.0,0.0
0.16143,0.015,0.7,0.41587,5.19508,0.1,0.49386,0.0,0.0,0.5,0.0,1.0,0.0
0.18437,0.01527,0.63748,0.43678,5.15011,0.1,0.56259,0.0,0.0,0.5,0.0,0.97889,0.0
0.13366,0.01527,0.63103,0.43678,5.78702,0.11004,0.49272,0.0,0.0,0.5,0.0,0.85787,0.0
0.16182,0.01774,0.63748,0.43678,5.0,0.10132,0.56259,0.0,0.0,0.5,0.0,0.96123,0.0
0.12868,0.01527,0.66311,0.4115,5.0,0.11322,0.56259,0.0,0.0,0.5,0.0,0.8,0.0
0.13696,0.015,0.7,0.38617,5.0,0.10975,0.51605,0.0,0.0,0.5,0.0,0.96514,0.0
0.13981,0.015,0.68529,0.3898,5.0,0.10987,0.51299,0.0,0.0,0.5,0.0,0.97031,0.0
0.18264,0.01527,0.63748,0.40398,5.15011,0.1,0.56259,0.0,0.0,0.5,0.0,0.97889,0.0
0.15023,0.01527,0.6385,0.43678,5.06372,0.1,0.56159,0.0,0.0,0.5,0.0,0.95646,0.0
0.1241,0.01527,0.53807,0.43512,5.45616,0.11265,0.56572,0.0,0.0,0.5,0.0,0.97889,0.0
0.15616,0.01534,0.65736,0.45401,5.04204,0.10189,0.56834,0.0,0.0,0.5,0.0,0.94829,0.0
0.18853,0.015,0.63748,0.43678,5.01131,0.1,0.56259,0.0,0.0,0.5,0.0,0.97889,0.0
0.16225,0.015,0.54173,0.43274,5.15011,0.1,0.6,0.0,0.0,0.5,0.0,0.97889,0.0
0.11301,0.01527,0.50284,0.31805,5.0,0.1,0.55852,0.0,0.0,0.5,0.0,0.86088,0.0
0.1528,0.01509,0.61216,0.44755,5.0,0.1,0.56391,0.0,0.0,0.5,0.0,1.0,0.0
0.17934,0.01515,0.64098,0.43289,5.0,0.10074,0.55563,0.0,0.0,0.5,0.0,0.97607,0.0
0.19305,0.015,0.64098,0.43864,5.0,0.10543,0.53992,0.0,0.0,0.5,0.0,0.98385,0.0
0.14883,0.01527,0.57337,0.43678,5.0,0.1076,0.4805,0.0,0.0,0.5,0.0,0.97889,0.0
0.13294,0.015,0.61624,0.41574,5.01131,0.1,0.6,0.0,0.0,0.5,0.0,0.97889,0.0
0.15731,0.01527,0.60439,0.44227,5.05973,0.1,0.57898,0.0,0.0,0.5,0.0,0.94281,0.0
0.12628,0.015,0.57413,0.5,5.0,0.1,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.17439,0.01581,0.68465,0.42874,5.0,0.10321,0.59402,0.0,0.0,0.5,0.0,0.90034,0.0
0.14336,0.015,0.67058,0.39093,5.0,0.1,0.53992,0.0,0.0,0.5,0.0,1.0,0.0
0.12954,0.01517,0.64814,0.44036,5.01131,0.1,0.57146,0.0,0.0,0.5,0.0,0.97889,0.0
0.1757,0.015,0.65649,0.48165,5.0,0.1,0.51583,0.0,0.0,0.5,0.0,0.80387,0.0
0.1418,0.015,0.64098,0.42472,5.0,0.13251,0.54915,0.0,0.0,0.5,0.0,0.9957,0.0
0.19107,0.01527,0.7,0.49685,5.0,0.10721,0.56259,0.0,0.0,0.5,0.0,1.0,0.0
0.1612,0.01681,0.64098,0.43864,5.83646,0.10543,0.53526,0.0,0.0,0.5,0.0,1.0,0.0
0.18073,0.015,0.6662,0.39635,5.15011,0.1,0.50761,0.0,0.0,0.5,0.0,0.97889,0.0
0.15674,0.015,0.66333,0.48012,5.0,0.10807,0.47287,0.0,0.0,0.5,0.0,0.85132,0.0
0.1205,0.01527,0.68522,0.4896,5.10539,0.10455,0.57593,0.0,0.0,0.5,0.0,0.986,0.0
0.12913,0.015,0.61666,0.43678,5.30768,0.1,0.56259,0.0,0.0,0.5,0.0,0.96694,0.0
0.12943,0.015,0.7,0.5,5.15507,0.11895,0.51429,0.0,0.0,0.5,0.0,1.0,0.0
0.14238,0.0185,0.7,0.32139,5.0,0.10173,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.18226,0.01538,0.7,0.5,5.00111,0.10652,0.56259,0.0,0.0,0.5,0.0,1.0,0.0
0.15104,0.01583,0.64606,0.5,5.44236,0.11809,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.17793,0.01539,0.66565,0.40481,5.0,0.11912,0.56259,0.0,0.0,0.5,0.0,1.0,0.0
0.17509,0.01501,0.64284,0.43772,5.0,0.10578,0.539,0.0,0.0,0.5,0.0,0.97924,0.0
0.1761,0.015,0.68828,0.43032,5.0,0.10186,0.56259,0.0,0.0,0.5,0.0,0.9998,0.0
0.15922,0.015,0.60989,0.43823,5.0,0.10523,0.5108,0.0,0.0,0.5,0.0,0.97632,0.0
0.12711,0.015,0.7,0.42307,5.06419,0.1,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.20088,0.01522,0.7,0.5,5.01738,0.10902,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.13388,0.015,0.57099,0.45412,5.0,0.10543,0.6,0.0,0.0,0.5,0.0,0.98385,0.0
0.15103,0.01527,0.7,0.49502,5.10068,0.10744,0.55745,0.0,0.0,0.5,0.0,0.99495,0.0
0.1542,0.015,0.6728,0.46233,5.0,0.10761,0.53992,0.0,0.0,0.5,0.0,0.93692,0.0
0.10831,0.01692,0.5,0.5,6.47822,0.10147,0.47799,0.0,0.0,0.5,0.0,1.0,0.0
0.14352,0.015,0.7,0.5,5.0,0.11014,0.54893,0.0,0.0,0.5,0.0,1.0,0.0
0.13028,0.015,0.59036,0.49685,5.0,0.10105,0.44371,0.0,0.0,0.5,0.0,1.0,0.0
0.14122,0.01791,0.69386,0.49685,6.06867,0.1,0.49008,0.0,0.0,0.5,0.0,1.0,0.0
0.12598,0.015,0.62827,0.42149,5.1063,0.11755,0.54264,0.0,0.0,0.5,0.0,1.0,0.0
0.16866,0.01684,0.7,0.49685,5.0,0.11234,0.50844,0.0,0.0,0.5,0.0,0.81911,0.0
0.14232,0.01719,0.7,0.5,5.0,0.1,0.43503,0.0,0.0,0.5,0.0,0.89298,0.0
